name,adress
Middle+ DevOps специалист,https://astana.hh.kz/vacancy/75936809?from=vacancy_search_list&query=python
Senior Data Scientist,https://astana.hh.kz/vacancy/76165505?from=vacancy_search_list&query=python
PHP Web Developer,https://astana.hh.kz/vacancy/75555759?from=vacancy_search_list&query=python
Database administrator,https://astana.hh.kz/vacancy/75968903?from=vacancy_search_list&query=python
DevOps / Cloud Engineer,https://astana.hh.kz/vacancy/76162216?from=vacancy_search_list&query=python
Data Integration Engineer,https://astana.hh.kz/vacancy/73760137?from=vacancy_search_list&query=python
Senior Server Programmer (Node.js),https://astana.hh.kz/vacancy/76102898?from=vacancy_search_list&query=python
Senior Data Engineer,https://astana.hh.kz/vacancy/75938775?from=vacancy_search_list&query=python
Lead Data Engineer,https://astana.hh.kz/vacancy/75938362?from=vacancy_search_list&query=python
Lead QA Engineer,https://astana.hh.kz/vacancy/73763181?from=vacancy_search_list&query=python
Backend Team Lead,https://astana.hh.kz/vacancy/76013197?from=vacancy_search_list&query=python
Senior Backend developer,https://astana.hh.kz/vacancy/73690241?from=vacancy_search_list&query=python
Senior DevOps Engineer (Product Security),https://astana.hh.kz/vacancy/75741461?from=vacancy_search_list&query=python
Эксперт Дирекции моделирования и расчета провизий,https://astana.hh.kz/vacancy/75929147?from=vacancy_search_list&query=python
Менеджер по управлению эффективностью телеком каналов,https://astana.hh.kz/vacancy/75954635?from=vacancy_search_list&query=python
"Бизнес-аналитик Департамента планирования и аналитики ДКБ, г. Алматы",https://astana.hh.kz/vacancy/75775917?from=vacancy_search_list&query=python
Специалист технической поддержки (Support),https://astana.hh.kz/vacancy/73347424?from=vacancy_search_list&query=python
Digital маркетолог для монобрендовой сети магазинов,https://astana.hh.kz/vacancy/72179424?from=vacancy_search_list&query=python
Программист 1С,https://astana.hh.kz/vacancy/75589368?from=vacancy_search_list&query=python
Ведущий специалист/Менеджер CVM,https://astana.hh.kz/vacancy/72336887?from=vacancy_search_list&query=python
Back End Developer (Senior),https://astana.hh.kz/vacancy/76384056?from=vacancy_search_list&query=python
Front end / Full stack разработчик сайтов в Digital Agency,https://astana.hh.kz/vacancy/76691455?from=vacancy_search_list&query=python
"DevOps Engineer (AWS+CDK), Online Gaming Platform",https://astana.hh.kz/vacancy/76557990?from=vacancy_search_list&query=python
QA-инженер,https://astana.hh.kz/vacancy/76128338?from=vacancy_search_list&query=python
Специалист по IT,https://astana.hh.kz/vacancy/75872919?from=vacancy_search_list&query=python
PHP Middle/Senior Developer,https://astana.hh.kz/vacancy/76220346?from=vacancy_search_list&query=python
TeamLead SysOps,https://astana.hh.kz/vacancy/72672673?from=vacancy_search_list&query=python
Эксперт по ИТ безопасности в г. Алматы,https://astana.hh.kz/vacancy/75837786?from=vacancy_search_list&query=python
"Сетапщик (риггинг, программирование персонажа)",https://astana.hh.kz/vacancy/75780039?from=vacancy_search_list&query=python
Business Process Development Analyst (S&OP / IBP),https://astana.hh.kz/vacancy/75611985?from=vacancy_search_list&query=python
Senior Business Intelligence Analyst,https://astana.hh.kz/vacancy/75526368?from=vacancy_search_list&query=python
Менеджер по работе с клиентами,https://astana.hh.kz/vacancy/75623230?from=vacancy_search_list&query=python
